-DOCSTART- -X- -X- -X-
   
During O O O
the O O O
five O O O
years O O O
Village B-EST O B-EST
Cafe I-EST O I-EST
has O O O
been O O O
open, O O O
I O O O
must O O O
have O O O
driven O O O
the O O O
length O O O
of O O O
Coney B-LOC O B-LOC
Island I-LOC O I-LOC
Avenue I-LOC O I-LOC
in O O O
Brooklyn B-LOC O B-LOC
a O O O
dozen O O O
times O O O
without O O O
noticing O O O
it. O O O
At O O O
best O O O
I O O O
might O O O
have O O O
spotted O O O
the O O O
tiny O O O
parking O O O
lot O O O
in O O O
Midwood, B-LOC O B-LOC
with O O O
tattered O O O
red, O O O
blue O O O
and O O O
silver O O O
streamers O O O
flapping O O O
over O O O
its O O O
10 O O O
or O O O
so O O O
spaces, O O O
giving O O O
it O O O
the O O O
appearance O O O
of O O O
the O O O
world's O O O
smallest O O O
used-car O O O
dealership. O O O
In O O O
the O O O
back O O O
is O O O
a O O O
wide, O O O
single-story O O O
structure O O O
that O O O
looks O O O
like O O O
the O O O
trailer O O O
office O O O
where O O O
you O O O
would O O O
sit O O O
down O O O
to O O O
discuss O O O
loan O O O
options O O O
with O O O
Marty O O O
from O O O
financing. O O O
But O O O
that O O O
building O O O
is O O O
an O O O
Azerbaijani B-CUISINE O B-CUISINE
restaurant O O O
that O O O
stands O O O
out O O O
among O O O
the O O O
dining O O O
outposts O O O
of O O O
former O O O
Soviet B-LOC O O
republics I-LOC O O
that O O O
stretch O O O
north O O O
from O O O
Brighton B-LOC O B-FOOD
Beach, I-LOC O I-FOOD
and O O O
each O O O
time O O O
I've O O O
gone O O O
inside O O O
I O O O
was O O O
given O O O
not O O O
a O O O
credit O O O
check, O O O
but O O O
a O O O
test O O O
of O O O
my O O O
appetite's O O O
limits. O O O
This O O O
is O O O
not O O O
just O O O
because O O O
almost O O O
every O O O
platter O O O
of O O O
food O O O
that O O O
leaves O O O
the O O O
kitchen O O O
at O O O
Village B-EST O B-EST
Cafe I-EST O I-EST
seems O O O
intended O O O
to O O O
feed O O O
an O O O
actual O O O
village. O O O
I O O O
run O O O
into O O O
trouble O O O
because O O O
there O O O
are O O O
so O O O
many O O O
things O O O
I O O O
want O O O
to O O O
order O O O
and O O O
so O O O
few O O O
things O O O
I O O O
am O O O
willing O O O
to O O O
leave O O O
on O O O
the O O O
table O O O
as O O O
the O O O
meal O O O
winds O O O
down. O O O
There O O O
will O O O
never O O O
be O O O
a O O O
time O O O
when O O O
I O O O
go O O O
to O O O
Village B-EST O B-EST
Cafe I-EST O I-EST
and O O O
decide O O O
not O O O
to O O O
have O O O
at O O O
least O O O
one O O O
qutab, B-DISH O B-FOOD
if O O O
not O O O
all O O O
three. O O O
The O O O
menu O O O
gives O O O
the O O O
name O O O
of O O O
this O O O
delicate O O O
Azerbaijani B-CUISINE O B-CUISINE
flatbread, B-FOOD O B-FOOD
the O O O
diameter O O O
of O O O
a O O O
pita B-FOOD O B-FOOD
but O O O
thinner, O O O
as O O O
kutaby. B-FOOD O B-DISH
Either O O O
way, O O O
it O O O
is O O O
very O O O
good O O O
when O O O
stuffed O O O
with O O O
minced, B-FOOD O O
quietly I-FOOD O O
spiced I-FOOD O O
chicken I-FOOD O B-FOOD
or O O O
lamb. B-FOOD O B-FOOD
It O O O
is O O O
exceptional O O O
when O O O
filled O O O
with O O O
